EncounterDate,TortoiseID,TortoiseType,TortoiseStatus
7/27/2015,BS103,Translocatee (2012 Short),Dead (BO 2011)
8/12/2015,BS116,Translocatee (2011 Short),Dead (BO 2011)
8/29/2012,BS121,Resident,Dead (BO 2011)
5/20/2014,BS122,Translocatee (2012 Short),Dead (BO 2011)
10/27/2016,BS125,Resident,Dead (BO 2011)
5/3/2016,BS134,Resident,Dead (BO 2011)
6/19/2016,BS141,Translocatee (2012 Short),Dead (BO 2011)
4/15/2014,BS143,Resident,Dead (BO 2011)
4/10/2014,BS144,Resident,Dead (BO 2011)
3/24/2014,BS150,Resident,Dead (BO 2011)
6/14/2016,BS154,Resident,Dead (BO 2011)
5/20/2016,BS157,Translocatee (2012 Long),Dead (BO 2011)
9/8/2015,BS167,Resident,Dead (BO 2011)
9/1/2015,BS168,Resident,Dead (BO 2011)
8/22/2012,BS169,Resident,Dead (BO 2011)
8/21/2012,BS180,Resident,Dead (BO 2011)
8/4/2014,BS184,Translocatee (2012 Long),Dead (BO 2011)
4/8/2014,BS187,Translocatee (2012 Long),Dead (BO 2011)
9/2/2014,BS24,Translocatee (2012 Short),Dead (BO 2011)
4/24/2012,BS26,Translocatee (2012 Short),Dead (BO 2011)
8/10/2012,BS260,Translocatee (2012 Short),Dead (BO 2011)
7/21/2014,BS261,Translocatee (2012 Long),Dead (BO 2011)
9/26/2013,BS266,Translocatee (2012 Short),Dead (BO 2011)
5/28/2013,BS306,Resident,Dead (BO 2011)
5/8/2016,BS31,Translocatee (2012 Short),Dead (BO 2011)
10/24/2012,BS313,Resident,Dead (BO 2011)
9/8/2012,BS315,Resident,Dead (BO 2011)
10/6/2016,BS322,Resident,Dead (BO 2011)
8/13/2012,BS34,Translocatee (2012 Short),Dead (BO 2011)
7/3/2014,BS346,Resident,Dead (BO 2011)
7/22/2013,BS349,Resident,Dead (BO 2011)
7/30/2012,BS35,Translocatee (2012 Short),Dead (BO 2011)
8/21/2013,BS356,Resident,Dead (BO 2011)
7/15/2014,BS36,Translocatee (2012 Short),Dead (BO 2011)
5/17/2013,BS38,Translocatee (2012 Short),Dead (BO 2011)
6/24/2015,BS44,Translocatee (2012 Short),Dead (BO 2011)
6/7/2016,BS45,Resident,Dead (BO 2011)
8/22/2016,BS50,Translocatee (2011 Short),Dead (BO 2011)
11/20/2014,BS501,Control East,Dead (BO 2011)
5/27/2015,BS502,Control East,Dead (BO 2011)
9/11/2013,BS505,Control East,Dead (BO 2011)
10/9/2014,BS51,Translocatee (2012 Short),Dead (BO 2011)
8/22/2016,BS52,Translocatee (2012 Short),Dead (BO 2011)
6/18/2013,BS520,Control East,Dead (BO 2011)
4/30/2014,BS532,Control East,Dead (BO 2011)
7/24/2014,BS536,Control East,Dead (BO 2011)
5/15/2016,BS543,Control West,Dead (BO 2011)
9/13/2012,BS544,Control West,Dead (BO 2011)
3/15/2016,BS568,Control West,Dead (BO 2011)
8/3/2015,BS570,Control West,Dead (BO 2011)
7/25/2013,BS574,Control West,Dead (BO 2011)
8/14/2012,BS584,Control West,Dead (BO 2011)
9/25/2014,BS591,Control West,Dead (BO 2011)
4/23/2013,BS60,Resident,Dead (BO 2011)
5/23/2012,BS601,Control West,Dead (BO 2011)
5/25/2012,BS603,Control West,Dead (BO 2011)
5/31/2015,BS633,Control West,Dead (BO 2011)
7/4/2016,BS642,Control West,Dead (BO 2011)
5/5/2014,BS652,Control West,Dead (BO 2011)
7/7/2015,BS653,Control West,Dead (BO 2011)
9/5/2012,BS655,Control West,Dead (BO 2011)
9/13/2012,BS81,Translocatee (2012 Short),Dead (BO 2011)
9/16/2012,BS85,Translocatee (2012 Short),Dead (BO 2011)
